rank,Youtuber,subscribers,video views,category,Title,uploads,Country,Abbreviation,channel_type,video_views_rank,country_rank,channel_type_rank,video_views_for_the_last_30_days,lowest_monthly_earnings,highest_monthly_earnings,lowest_yearly_earnings,highest_yearly_earnings,subscribers_for_last_30_days,created_year,created_month,created_date,Gross tertiary education enrollment (%),Population,Unemployment rate,Urban_population,Latitude,Longitude
368,tuzelity SHUFFLE,20700000,8658941531.0,People & Blogs,tuzelity SHUFFLE,889,Russia,RU,People,570.0,3.0,18.0,552266000.0,138100.0,2200000.0,1700000.0,26500000.0,1600000.0,2015.0,Oct,26.0,81.9,144373535.0,4.59,107683889.0,61.52401,105.318756
377,Jake Paul,20400000,7311322368.0,People & Blogs,Jake Paul,1006,United States,US,People,778.0,105.0,19.0,14646000.0,3700.0,58600.0,43900.0,703000.0,100000.0,2013.0,Sep,19.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
400,BuzzFeedVideo,20100000,17913237851.0,People & Blogs,BuzzFeedVideo,7737,United States,US,People,150.0,108.0,20.0,9112000.0,2300.0,36400.0,27300.0,437400.0,,2011.0,Aug,10.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
422,JukiLop,19400000,1577859332.0,People & Blogs,JukiLop,85,Mexico,MX,People,6674.0,14.0,22.0,2382000.0,595.0,9500.0,7100.0,114300.0,100000.0,2017.0,Sep,15.0,40.2,126014024.0,3.42,102626859.0,23.634501,-102.552784
449,Triggered Insaan,18800000,3276891538.0,Comedy,Triggered Insaan,304,India,IN,People,2508.0,79.0,24.0,109026000.0,27300.0,436100.0,327100.0,5200000.0,700000.0,2014.0,Jul,17.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
451,Ali-A,18700000,6148303268.0,Gaming,ali-a,2,,,People,4053443.0,,7729.0,1.0,0.0,0.0,0.0,0.05,,2016.0,Jul,7.0,,,,,,
458,The ACE Family,18500000,4558380251.0,People & Blogs,The ACE Family,712,,,People,1572.0,,25.0,2835000.0,709.0,11300.0,8500.0,136100.0,,2016.0,Jan,10.0,,,,,,
459,Like Nastya Vlog,18500000,8147575884.0,People & Blogs,Like Nastya Vlog,493,Russia,RU,People,630.0,5.0,25.0,48947000.0,12200.0,195800.0,146800.0,2300000.0,100000.0,2016.0,Jan,14.0,81.9,144373535.0,4.59,107683889.0,61.52401,105.318756
460,Willie Salim,18500000,4051072188.0,People & Blogs,Willie Salim,679,Indonesia,ID,People,1868.0,13.0,25.0,197369000.0,49300.0,789500.0,592100.0,9500000.0,1600000.0,2014.0,Jan,6.0,36.3,270203917.0,4.69,151509724.0,-0.789275,113.921327
470,Bobby chourasiya,18200000,9937823152.0,People & Blogs,Bobby chourasiya,442,,,People,452.0,,27.0,467848000.0,117000.0,1900000.0,1400000.0,22500000.0,1000000.0,2019.0,Jan,25.0,,,,,,
485,David Dobrik,17900000,7176572299.0,People & Blogs,David Dobrik,536,United States,US,People,801.0,125.0,28.0,8650000.0,2200.0,34600.0,26000.0,415200.0,100000.0,2014.0,Dec,19.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
493,Zuni and Family,17900000,6746269458.0,People & Blogs,zuni and family,2,,,People,4057766.0,,7733.0,4.0,0.0,0.02,0.01,0.19,,2020.0,Jul,15.0,,,,,,
494,Priyal Kukreja,17800000,11057945183.0,People & Blogs,Priyal Kukreja,772,India,IN,People,378.0,83.0,29.0,431390000.0,107800.0,1700000.0,1300000.0,20700000.0,900000.0,2021.0,Apr,23.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
495,MSA previously My Story Animated,17800000,8588704539.0,Film & Animation,MSA Previously My Story Animated,26,United States,US,People,3976090.0,5208.0,4978.0,20708.0,5.0,83.0,62.0,994.0,2960.0,2021.0,Nov,9.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
496,ýýýýýýýýý KIMPRO,17700000,19206701832.0,,ýýýýýýýýý KIMPRO,1646,South Korea,KR,People,125.0,9.0,26.0,3404000000.0,850900.0,13600000.0,10200000.0,163400000.0,3200000.0,2017.0,Nov,11.0,94.3,51709098.0,4.15,42106719.0,35.907757,127.766922
497,Jane ASMR ï¿½ï¿½,17700000,7387621644.0,,Jane ASMR ï¿½ï¿½,1888,South Korea,KR,People,762.0,11.0,30.0,102803000.0,0.0,0.0,0.0,0.0,,2012.0,Nov,17.0,94.3,51709098.0,4.15,42106719.0,35.907757,127.766922
499,jaanvi patel,17700000,7912733203.0,People & Blogs,jaanvi patel,512,India,IN,People,671.0,84.0,30.0,346753000.0,86700.0,1400000.0,1000000.0,16600000.0,900000.0,2018.0,Jul,18.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
519,Koray Zeynep,17400000,16560557488.0,People & Blogs,Koray Zeynep,2078,,,People,173.0,,31.0,426389000.0,106600.0,1700000.0,1300000.0,20500000.0,400000.0,2016.0,Jul,8.0,,,,,,
527,Jason Vlogs,17200000,8903647480.0,Education,Jason Oo,83,Australia,AU,People,4031958.0,3450.0,7408.0,25.0,0.01,0.1,0.08,1.0,,2014.0,Sep,11.0,113.1,25766605.0,5.27,21844756.0,-25.274398,133.775136
535,Gaby and Alex,17000000,8229883114.0,Entertainment,gabyandalex,1,,,People,4057752.0,,7732.0,,0.0,0.0,0.0,0.0,,2008.0,Aug,21.0,,,,,,
541,Aayu and Pihu Show,16900000,9270331567.0,Comedy,Aayu and Pihu Show,441,India,IN,People,510.0,90.0,34.0,89782000.0,22400.0,359100.0,269300.0,4300000.0,,2017.0,May,8.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
546,deepesh zo,16800000,7206462713.0,People & Blogs,deepesh zo,41,,,People,4038822.0,,7611.0,1.0,0.0,0.0,0.0,0.05,1.0,2021.0,Sep,24.0,,,,,,
553,Tu COSMOPOLIS,16700000,5089284369.0,People & Blogs,Tu COSMOPOLIS,8741,Mexico,MX,People,1337.0,19.0,35.0,16139000.0,4000.0,64600.0,48400.0,774700.0,,2014.0,Aug,28.0,40.2,126014024.0,3.42,102626859.0,23.634501,-102.552784
554,Ivana Alawi,16600000,1318442641.0,,Ivana Alawi,180,Philippines,PH,People,8338.0,5.0,36.0,15079000.0,3800.0,60300.0,45200.0,723800.0,100000.0,2018.0,Jun,1.0,35.5,108116615.0,2.15,50975903.0,12.879721,121.774017
570,RCTI - LAYAR DRAMA INDONESIA,16400000,13478392540.0,Entertainment,RCTI - LAYAR DRAMA INDONESIA,1,,,People,4057943.0,,7724.0,,0.0,0.0,0.0,0.0,,2020.0,Oct,19.0,,,,,,
584,T3ddy,16200000,2990185467.0,Comedy,T3ddy,1930,Brazil,BR,People,2898.0,31.0,38.0,33015000.0,8300.0,132100.0,99000.0,1600000.0,100000.0,2012.0,Jan,16.0,51.3,212559417.0,12.08,183241641.0,-14.235004,-51.92528
589,XO TEAM,16200000,14784781923.0,People & Blogs,XO TEAM Family,189,United States,US,People,153622.0,1776.0,1495.0,37911.0,9.0,152.0,114.0,1800.0,1000.0,2020.0,Sep,12.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
591,ExtraPolinesios,16200000,4813127504.0,People & Blogs,Extra polinesios,2,,,People,3945744.0,,7359.0,510.0,0.13,2.0,2.0,24.0,1.0,2015.0,Nov,21.0,,,,,,
602,sagar kalra (Shorts),16000000,6543629679.0,People & Blogs,sagar kalra (Shorts),453,,,People,921.0,,39.0,74062000.0,18500.0,296200.0,222200.0,3600000.0,200000.0,2017.0,Jun,30.0,,,,,,
612,Unspeakable,15900000,9052367553.0,Gaming,Unspeakable,796,United States,US,People,530.0,142.0,40.0,164895000.0,41200.0,659600.0,494700.0,7900000.0,200000.0,2016.0,May,1.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
620,MY FAMILY,15700000,6153495609.0,,My Family,150,Singapore,SG,People,731590.0,1203.0,3244.0,939647.0,235.0,3800.0,2800.0,45100.0,800.0,2019.0,Dec,3.0,84.8,5703569.0,4.11,5703569.0,1.352083,103.819836
642,Roman Atwood Vlogs,15400000,5469103954.0,People & Blogs,Roman Atwood Vlogs,1756,United States,US,People,1201.0,147.0,42.0,1583000.0,396.0,6300.0,4700.0,76000.0,,2013.0,Aug,12.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
650,ILYA BORZOV,15300000,9938811455.0,People & Blogs,ILYA BORZOV,2175,Russia,RU,People,441.0,8.0,42.0,475565000.0,118900.0,1900000.0,1400000.0,22800000.0,800000.0,2021.0,Apr,1.0,81.9,144373535.0,4.59,107683889.0,61.52401,105.318756
661,It's Mamix,15100000,1777072487.0,People & Blogs,It's Mamix,210,United States,US,People,5778.0,150.0,44.0,15984000.0,4000.0,63900.0,48000.0,767200.0,,2017.0,Feb,1.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
664,Musas,15100000,2400037562.0,Howto & Style,Jordi Sala,159,Andorra,AD,People,3889418.0,504.0,7615.0,86.0,0.02,0.34,0.26,4.0,,2006.0,Mar,12.0,,,,,,
666,PowerfulJRE,15100000,3060202847.0,People & Blogs,PowerfulJRE,1037,United States,US,People,2796.0,149.0,43.0,43409000.0,10900.0,173600.0,130200.0,2100000.0,200000.0,2013.0,Jan,12.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
669,Hongyu ASMR ï¿½ï¿½,15100000,4967784343.0,People & Blogs,Hongyu ASMR ï¿½ï¿½ï,1,,,People,4057925.0,,7694.0,,0.0,0.0,0.0,0.0,,2021.0,Mar,16.0,,,,,,
678,Chetan Monga Vlogs,15000000,9924103188.0,People & Blogs,Chetan Monga Vlogs,899,India,IN,People,457.0,104.0,45.0,113572000.0,28400.0,454300.0,340700.0,5500000.0,400000.0,2014.0,Aug,17.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
700,ZutiGang,14900000,15913320995.0,People & Blogs,ZutiGang,1363,,,People,192.0,,45.0,346653000.0,86700.0,1400000.0,1000000.0,16600000.0,400000.0,2021.0,Mar,5.0,,,,,,
713,Filaretiki,14800000,15788208522.0,,Filaretiki,2222,United States,US,People,195.0,152.0,46.0,1203000000.0,300800.0,4800000.0,3600000.0,57800000.0,1700000.0,2021.0,Mar,24.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
744,Boram Tube ToysReview [ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿,14500000,5014888374.0,People & Blogs,Boram Tube ToysReview [ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï,618,South Korea,KR,People,1364.0,14.0,47.0,4960000.0,1200.0,19800.0,14900.0,238100.0,,2016.0,May,18.0,94.3,51709098.0,4.15,42106719.0,35.907757,127.766922
756,NOBRU,14400000,351763324.0,Gaming,nobru,2,,,People,4057274.0,,7596.0,2.0,0.0,0.01,0.01,0.1,1.0,2006.0,Feb,3.0,,,,,,
761,Indore Physical Academy,14400000,4156427797.0,People & Blogs,Indore Physical Academy,1838,India,IN,People,1793.0,107.0,47.0,70409000.0,17600.0,281600.0,211200.0,3400000.0,200000.0,2014.0,Apr,19.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
786,Trap City,14100000,5129529846.0,Music,TrapCity,3,Australia,AU,People,4032620.0,3671.0,7629.0,147.0,0.04,0.59,0.44,7.0,1.0,2015.0,Nov,4.0,113.1,25766605.0,5.27,21844756.0,-25.274398,133.775136
793,AM3NlC,14000000,4959982720.0,Gaming,AM3NlC,5757,Brazil,BR,People,1392.0,45.0,49.0,10210000.0,2600.0,40800.0,30600.0,490100.0,,2012.0,Dec,15.0,51.3,212559417.0,12.08,183241641.0,-14.235004,-51.92528
802,Crescendo com Luluca,14000000,5094050461.0,Entertainment,Crescendo com Luluca,1307,Brazil,BR,People,1327.0,44.0,48.0,68058000.0,17000.0,272200.0,204200.0,3300000.0,100000.0,2015.0,Aug,30.0,51.3,212559417.0,12.08,183241641.0,-14.235004,-51.92528
806,Dental Digest,13900000,7450345720.0,People & Blogs,Dental Digest,324,,,People,745.0,,50.0,231562000.0,57900.0,926200.0,694700.0,11100000.0,300000.0,2020.0,Aug,12.0,,,,,,
811,ýýýýýýýý ýý ýýýýýýýýýýýý,13900000,8451754769.0,,ýýýýýýýý ýý ýýýýýýýýýýýý,504,United States,US,People,600.0,161.0,50.0,114261000.0,28600.0,457000.0,342800.0,5500000.0,200000.0,2018.0,Oct,12.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
833,Zeinab Harake,13600000,896891351.0,,Zeinab Harake,273,Philippines,PH,People,13437.0,9.0,51.0,12088000.0,3000.0,48400.0,36300.0,580200.0,100000.0,2017.0,Oct,19.0,35.5,108116615.0,2.15,50975903.0,12.879721,121.774017
844,Lady Diana,13500000,8265920659.0,Entertainment,Lady Diana,1403,Ukraine,UA,People,620.0,4.0,52.0,75162000.0,18800.0,300600.0,225500.0,3600000.0,100000.0,2016.0,Mar,21.0,82.7,44385155.0,8.88,30835699.0,48.379433,31.16558
852,The World Adventures ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,13400000,2139769210.0,People & Blogs,The World Adventures ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,1028,India,IN,People,4540.0,116.0,53.0,1043000.0,261.0,4200.0,3100.0,50100.0,,2016.0,Sep,9.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
859,Peet Montzingo,13400000,10022557589.0,People & Blogs,Peet Montzingo,319,United States,US,People,433.0,165.0,52.0,397715000.0,99400.0,1600000.0,1200000.0,19100000.0,500000.0,2014.0,Jun,1.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
866,Vogue,13300000,4177184071.0,Entertainment,Vogue,3166,United States,US,People,1789.0,167.0,54.0,45095000.0,11300.0,180400.0,135300.0,2200000.0,100000.0,2008.0,Jun,29.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
880,Vilmei,13200000,4205664894.0,,Vilmei,1324,Indonesia,ID,People,1786.0,30.0,55.0,264308000.0,66100.0,1100000.0,792900.0,12700000.0,800000.0,2013.0,Sep,25.0,36.3,270203917.0,4.69,151509724.0,-0.789275,113.921327
884,ýýýýýýTwinsFromRussia,13200000,9378175604.0,People & Blogs,ýýýýýýTwinsFromRussia,6888,United States,US,People,503.0,168.0,55.0,119389000.0,29800.0,477600.0,358200.0,5700000.0,300000.0,2011.0,May,16.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
887,Ryan Trahan,13100000,2182651464.0,Entertainment,Ryan Trahan,33,United States,US,People,4051001.0,7683.0,7670.0,248.0,0.06,0.99,0.74,12.0,1.0,2022.0,Jun,27.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
888,Alex Gonzaga Official,13100000,1401914513.0,People & Blogs,Alex Gonzaga Official,287,Philippines,PH,People,7733.0,11.0,56.0,10848000.0,2700.0,43400.0,32500.0,520700.0,,2017.0,Jul,18.0,35.5,108116615.0,2.15,50975903.0,12.879721,121.774017
892,Knowledge Tv ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,13100000,1936582704.0,People & Blogs,Knowledge Tv ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,7,,,People,4054334.0,,7714.0,2.0,0.0,0.01,0.01,0.1,,2019.0,Nov,24.0,,,,,,
893,Painzeiro,13100000,2555801802.0,People & Blogs,Painzeiro,1077,Brazil,BR,People,3545.0,50.0,56.0,43990000.0,11000.0,176000.0,132000.0,2100000.0,100000.0,2015.0,Nov,6.0,51.3,212559417.0,12.08,183241641.0,-14.235004,-51.92528
908,Wolfoo Channel,13000000,301547793.0,,Wolfoo Channel,22,Pakistan,PK,People,4035874.0,3926.0,7638.0,590.0,0.15,2.0,2.0,28.0,8.0,2021.0,Aug,11.0,9.0,216565318.0,4.45,79927762.0,30.375321,69.345116
911,The LaBrant Fam,13000000,4637474071.0,Comedy,The LaBrant Fam,612,United States,US,People,1557.0,170.0,57.0,42412000.0,0.0,0.0,0.0,0.0,,2012.0,Aug,24.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
912,Pastor Antï¿½ï¿½ï¿½ï¿½ï,12900000,2112274210.0,People & Blogs,Pastor Antï¿½ï¿½ï¿½ï¿½ï,4712,Brazil,BR,People,4602.0,52.0,58.0,31796000.0,7900.0,127200.0,95400.0,1500000.0,100000.0,2013.0,Jan,19.0,51.3,212559417.0,12.08,183241641.0,-14.235004,-51.92528
942,Heidi y Zidane,12700000,6001189018.0,,Heidi y Zidane,600,United States,US,People,1052.0,173.0,60.0,16117000.0,4000.0,64500.0,48400.0,773600.0,,2019.0,Dec,2.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
943,Go Ami Go!,12700000,1714955279.0,People & Blogs,Go Ami Go!,252,Colombia,CO,People,5821.0,11.0,57.0,327600000.0,81900.0,1300000.0,982800.0,15700000.0,1500000.0,2015.0,Dec,3.0,55.3,50339443.0,9.71,40827302.0,4.570868,-74.297333
945,CaseyNeistat,12600000,3152402405.0,People & Blogs,CaseyNeistat,1101,United States,US,People,2681.0,174.0,61.0,5952000.0,1500.0,23800.0,17900.0,285700.0,100000.0,2010.0,Feb,15.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
946,ýýýýýýýýýSULGI,12600000,3485373675.0,People & Blogs,ýýýýýýýýýSULGI,683,South Korea,KR,People,2313.0,17.0,61.0,113132000.0,28300.0,452500.0,339400.0,5400000.0,300000.0,2012.0,Nov,5.0,94.3,51709098.0,4.15,42106719.0,35.907757,127.766922
953,Health Time,12500000,1002219689.0,Howto & Style,Health Time,1810,India,IN,People,11667.0,123.0,62.0,1395000.0,349.0,5600.0,4200.0,66900.0,,2016.0,Sep,25.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
968,Troom Troom Indonesia,12500000,5379684248.0,People & Blogs,TROOM TROOM INDONESIA,8,,,People,4057418.0,,7712.0,1.0,0.0,0.0,0.0,0.05,,2020.0,Jul,29.0,,,,,,
973,Hero Movies 2023,12400000,1689090619.0,People & Blogs,Hero Movies 2023,689,,,People,6116.0,,63.0,21837000.0,5500.0,87300.0,65500.0,1000000.0,,2017.0,Feb,22.0,,,,,,
975,Gibby :),12400000,2862685032.0,People & Blogs,Gibby :),226,Mexico,MX,People,3087.0,34.0,63.0,10278000.0,2600.0,41100.0,30800.0,493300.0,,2014.0,Aug,30.0,40.2,126014024.0,3.42,102626859.0,23.634501,-102.552784
982,Pari's Lifestyle,12400000,7741764747.0,People & Blogs,Pari's Lifestyle,459,India,IN,People,702.0,124.0,63.0,38165000.0,9500.0,152700.0,114500.0,1800000.0,,2018.0,Nov,26.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
984,MoniLina,12400000,16086808918.0,Comedy,MoniLinaFamily,0,United States,US,People,4057944.0,2774.0,2499.0,,0.0,0.0,0.0,0.0,100.0,2016.0,May,10.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
986,TKOR,12400000,3392022527.0,Education,TKoR,0,,,People,4057944.0,,7741.0,,0.0,0.0,0.0,0.0,,2006.0,Aug,16.0,,,,,,
